ID,location,name,review,subject,time
2017_3_16_13_39_19_658751_1,,Craig G,"From the email received from the owner before I even arrived confirming my booking and checking if there was anything he could do to help before I arrived.
To the wonderful greeting at check in with a cold drink and a smooth transition to my room.
Every employee was attentive and professional.
The morning breakfast is delicious with many great...",This Hotel goes above and beyond.,Reviewed 2 days ago 
2017_3_16_13_39_21_444383_2,,Raz78611,My stay at the white house hotel was superb as i arrived to the hotel the manager HASAN was waiting for us and welcomed us with a nice drink and some turkish delight which was very nice. HASAN made check-in very fast and easy for us and helped us with getting our luggage to our room and gave us all...,"SUPERB HOTEL GREAT STAFF,LOCATION AND VERY CLEAN AND LOVELY",Reviewed 6 days ago 
2017_3_16_13_39_22_961258_3,,Alejandro M,Excellent idea for a great game and I can play I can see the way you want me your perfect I can make your eyes a better smile I can see your peacock face you can see the perfect smile for the best and,Awesome,Reviewed 1 week ago 
2017_3_16_13_39_24_283009_4,"Liverpool, United Kingdom",Emma D,"We thoroughly enjoyed our trip to Istanbul. The hotel was perfect - a short walk to the blue mosque, palace, grand bazaar, spice market etc. Breakfast was fine and the rooms were gorgeous. We were upgraded and the hotel manager and his staff were perfect hosts. Couldn't ask for better. Good value for money. Thank you. All up, you can...",Simply stunning!,Reviewed 1 week ago 
2017_3_16_13_39_25_498726_5,,Gajanana H,"Location of this place is superb close to most of the top visited sites in Istanbul like Hagia Sophia, Blue mosque and the Basilica cistern. The staff were very helpful and provided very dependable advise on day trips which made our visit memorable. But the extra extra mile that the owner Harun Cardici went to help with the logistics of...",Caring hosts in Sultanamet,Reviewed 1 week ago 
2017_3_16_13_39_26_730810_6,"New York City, New York",Sarah12361,"Everything was amazing! When I first entered, the manager sat down with me and answered all my questions about the city and the hotel. I was upgraded to the Family room, which was beautiful and spacious. Breakfast is delicious and has a spectacular view. This was my 2nd time in Istanbul and I wish I had stayed at this hotel...",Could not have asked for more!,Reviewed 1 week ago 
2017_3_16_13_39_27_947230_7,,Safina Y,"I visited this hotel knowing it was a small boutique hotel, little did I know the service and quality was out of this world. Never had such great hospitality before I visited here. The staff were friendly and the service was credible. Rooms are amazing! This hotel is in the heart of the city and very close to all the...",Excellent hotel,Reviewed 2 weeks ago 
2017_3_16_13_39_29_263076_8,,Hjh Puteri M,As a first timer coming to Istanbul I'm happy to recommend White House hotel. You'll never regret. The rooms are clean and beautifully decorated. Breakfast is served at the roof top which is scenic and of course the food are nice and delicious. It's within your budget. If I were to come again to Istanbul for the second time I...,"Staffs are very friendly, helpful & reliable. Location is very convenient both for sightseeing & shopping",Reviewed 2 weeks ago 
2017_3_16_13_39_30_433261_9,"Farnborough, United Kingdom",Kamohoali,"Everything which has been said about this quality boutique hotel is true.
The manager and his staff went out of their way to make our stay exceptional. We felt very welcome.
Location is perfect. Five minutes strolling to the Blue Mosque, Hippodrome, and Hagia Sofia. Just a little further to the Topkapi Palace and Grand Bazar.
Good restaurants nearby -...",Believe the 5* reviews!,Reviewed 2 weeks ago 
2017_3_16_13_39_31_687266_10,,Abid A,Can't complain about this place. Staff were nice & friendly. Welcomed us with happy faces & refreshments were served on arrival & also luggage was taken care of by staffs. Really would recommend to any1. Bargain for its price wise. Thanx,Top hotel great customer service ,Reviewed 2 weeks ago 
